PLAYER_ID,RAPM,PLAYER,TeamID,id,Team
204296,0.7044975463777984,Rebecca Allen,1611661329.0,1611661329.0,Chicago Sky
204297,-1.516154814194244,,,,
202250,-0.027510770781342127,Tina Charles,1611661323.0,1611661323.0,Connecticut Sun
202252,0.556722196684234,Alysha Clark,1611661328.0,1611661328.0,Seattle Storm
1627668,1.1802577643152985,Breanna Stewart,1611661313.0,1611661313.0,New York Liberty
1627669,-2.6430718866996616,Moriah Jefferson,1611661329.0,1611661329.0,Chicago Sky
1627671,-2.552408886596715,Rachel Banham,1611661329.0,1611661329.0,Chicago Sky
1627672,-1.0051409689764785,,,,
1627673,4.695662862462175,Jonquel Jones,1611661313.0,1611661313.0,New York Liberty
1627674,-0.8586340702673096,Kahleah Copper,1611661317.0,1611661317.0,Phoenix Mercury
